latitude,longitude
38.63862878,-121.3815598
38.62198839,-121.4461582
38.63862878,-121.3815598
38.62219451,-121.438211
38.54940296,-121.4091389
38.63040165,-121.4780296
38.51332326,-121.4314836
38.62875561,-121.5085108
38.58184562,-121.5011657
38.51030591,-121.4787921
38.62982199,-121.4414625
38.57997771,-121.4978345
38.65899218,-121.4600156
38.65023973,-121.5085026
38.53114891,-121.4223993
38.51852,-121.475971
38.45790447,-121.437086
38.67549475,-121.4977777
38.47322263,-121.4250682
38.52507079,-121.4199387
38.63253761,-121.4257122
38.64688728,-121.4140661
38.49297696,-121.5071286
38.47920034,-121.4638793
38.57881567,-121.4970836
38.61402379,-121.4926144
38.49852712,-121.4742273
38.58053662,-121.4906312
38.61499899,-121.423449
38.5704109,-121.4841033
38.57704873,-121.4812324
38.48308908,-121.4790012
38.61733037,-121.510595
38.62753184,-121.4755302
38.65357208,-121.5095127
